source_name,source_link,event_id,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,dataset_source,original_event_date,event_date_standardized,event_date_only,original_latitude,original_longitude,latitude_standardized,longitude_standardized,coordinates_valid,latitude_compare,longitude_compare,date_compare,master_id,record_type,event_year,event_month,date_precision,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes
e-pao.net,http://e-pao.net/GP.asp?src=Snipp3..100610.jun10,1961.0,6/9/2010 14:15,"Ishok Chingphu(?), Bishnupur, Assam","Imphal, June 09 2010: Three houses were damaged in mudslide from the hill at Ishok Chingphu in Bishnupur district today causing damaged to properties worth around Rs 2 lakh.  The collapsed houses belonged to Pukhrambam Rame son of Chaoba, Huidrom Shamu and Naorem Bisheshwar.  Most part of the house of Rame had been destroyed in the mudslide occurred at about 2.15 pm.","Ishok Chingphu(?), Bishnupur, Assam",50km,landslide,downpour,medium,unknown,0.0,0.0,glc,1961.0,India,IN,Meghālaya,25758.0,Nongstoin,41.26849,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,91.2,25.8833,India_Media_Catalog,6/9/2010 14:15,2010-06-09 14:15:00,2010-06-09,25.8833,91.2,25.8833,91.2,True,25.883,91.2,2010-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-pao,http://www.e-pao.net/GP.asp?src=5..101010.oct10,2578.0,10/9/2010 0:00,"NH-39 in Karong area, Manipur",Landslide has also been reported at a spot near Khongnem village while there are at least three landslides at Karong area.,"NH-39 in Karong area, Manipur",5km,landslide,downpour,medium,unknown,0.0,0.0,glc,2578.0,India,IN,Nāgāland,92113.0,Kohima,40.0566,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,94.0462,25.3179,India_Media_Catalog,10/9/2010 0:00,2010-10-09 00:00:00,2010-10-09,25.3179,94.0462,25.3179,94.0462,True,25.318,94.046,2010-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hmar.net,http://hmar.net/?p=1870,322.0,10/21/2007 0:00,National Highway 53 at Nungba in Tamenglong district of Manipur,blocked road,National Highway 53 at Nungba in Tamenglong district of Manipur,25km,landslide,rain,medium,unknown,0.0,0.0,glc,322.0,India,IN,Assam,12871.0,Lakhipur,43.16287,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,93.4333,24.75,India_Media_Catalog,10/21/2007 0:00,2007-10-21 00:00:00,2007-10-21,24.75,93.4333,24.75,93.4333,True,24.75,93.433,2007-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.morungexpress.com,http://www.morungexpress.com/regional/104056.html,5552.0,9/24/2013 0:00,"Ukhrul, Manipur","Imphal, September 28 (NNN): The massive landslide that occurred in Ukhrul town has been cleared yesterday. The landslide had occurred at Police Bazar, also called Tangrei near Ukhrul police station. According to Kamphasom Tang chairman Alston T Shimrah and its secretary Khamung, the landslide that had given tremendous hardship to the people of the Ukhrul town in the last few days. The chairman and the secretary of Kamphasom Tang, Ukhrul have expressed their deep gratitude to Ukhrul deputy commissioner SK Chaurasoia, Ukhrul superintendent of police K Kabib, Ukhrul sub-divisional officer Worshang Hungyo, Officer commanding of 84 RCC/25 BRTF Asish Kumar, 2nd in command of the BRTF AK Mehra, Jr Engineer, 25 BRTF Swamy S and others for helping to clear the massive landslide yesterday. The Kamphasom Tang leaders also expressed their gratitude to RS Ngaranchui, the Ukhrul district representative of Lok Sabha MLA under whose supervision the slide was cleared.","Ukhrul, Manipur",5km,landslide,unknown,medium,unknown,0.0,0.0,glc,5552.0,India,IN,Manipur,223523.0,Imphal,53.05172,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,94.3619,25.0985,India_Media_Catalog,9/24/2013 0:00,2013-09-24 00:00:00,2013-09-24,25.0985,94.3619,25.0985,94.3619,True,25.098,94.362,2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Olympian,http://www.theolympian.com/2015/05/27/3746897/rhododendron-explorers-from-south.html,7031.0,5/24/2015 0:00,"Bop, Sikkim","Approximately 1200 tourists were stranded. The landslide blocked three switchbacks on the main road. By the evening, that stretch was impassable.","Bop, Sikkim",1km,landslide,unknown,medium,above_road,0.0,0.0,glc,7031.0,India,IN,Sikkim,1464.0,Mangan,17.93173,6/30/2015 20:57,11/20/2017 15:17,2/15/2018 15:51,88.6586,27.6163,India_Media_Catalog,5/24/2015 0:00,2015-05-24 00:00:00,2015-05-24,27.6163,88.6586,27.6163,88.6586,True,27.616,88.659,2015-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hindustantimes,http://www.hindustantimes.com/Girl-dies-in-landslide-flash-flood-wrecks-havoc-in-Meghalaya/Article1-564450.aspx,2025.0,6/28/2010 0:00,"Police CID complex(?), Shillong, Meghalaya","A 14-year-old girl was killed and at least seven others were injured on Monday after heavy rains triggered a landslide in Shillong. Alicia Arengngma, daughter of a policeman, was buried when debris of a landslide following heavy rain blocked the ground floor of Meghalaya police's CID complex, police said. Some nearby houses were also damaged and rescue operations were on, official sources said.  The injured were admitted in a government hospital.  Incessant rain over the past couple of days has thrown normal life completely out of gear in the state.","Police CID complex(?), Shillong, Meghalaya",5km,landslide,downpour,medium,unknown,1.0,0.0,glc,2025.0,India,IN,Meghālaya,132842.0,Shillong,0.46891,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,91.885,25.5728,India_Media_Catalog,6/28/2010 0:00,2010-06-28 00:00:00,2010-06-28,25.5728,91.885,25.5728,91.885,True,25.573,91.885,2010-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.nagalandpost.com,http://www.nagalandpost.com/ChannelNews/Regional/RegionalNews.aspx?news=TkVXUzEwMDA0MzUxNQ%3D%3D-zy3k3F6024s%3D,5343.0,8/17/2013 23:00,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,"Over 700 Imphal-bound freight trucks were Sunday stranded between Rengpan and Khambirong on the stretch of the Imphal-Jiribam section of NH-37 in Tamenglong district after the road was totally blocked by a landslide triggered by continuous heavy rainfall. An official report reaching here said that the landslide at various places between Rengpang and Khambirong of the highway was triggered by heavy rainfall last night blocking vehicular movement. Over 700 freight trucks including oil tankers and goods laden trucks heading Imphal from Jiribam with security escorts were reportedly stranded at various places beyond Rengpang on Jiribam side. The freight trucks include among other 250 trucks loaded with rice and other Food Corporation of India (FCI), 30 oil tanker and 10 trucks carrying life saving drugs. The landslide was triggered after around 150 trucks had crossed the area with security escort. Besides this, those vehicles which had already crossed the landslide area remained stranded be",The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,10km,landslide,continuous_rain,medium,unknown,0.0,0.0,glc,5343.0,India,IN,Assam,12871.0,Lakhipur,43.11128,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,93.4341,24.7625,India_Media_Catalog,8/17/2013 23:00,2013-08-17 23:00:00,2013-08-17,24.7625,93.4341,24.7625,93.4341,True,24.762,93.434,2013-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Post,http://www.firstpost.com/india/two-dead-2-injured-landslide-arunachal-pradesh-school-remain-shut-heavy-rainfall-alert-2287954.html,6971.0,6/9/2015 0:00,"Itanagar, Arunachal Pradesh",Two people died while two others were seriously injured when their dwelling was hit by a landslide on Tuesday,"Itanagar, Arunachal Pradesh",5km,landslide,continuous_rain,medium,above_road,2.0,2.0,glc,6971.0,India,IN,Arunachal Pradesh,44971.0,Itānagar,1.30114,6/25/2015 20:30,11/20/2017 15:17,2/15/2018 15:51,93.816,27.0987,India_Media_Catalog,6/9/2015 0:00,2015-06-09 00:00:00,2015-06-09,27.0987,93.816,27.0987,93.816,True,27.099,93.816,2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WebIndia123.com,http://news.webindia123.com/news/ar_showdetails.asp?id=704100915&cat=&n_date=20070410,57.0,4/11/2007 0:00,"Sikkim, 13 km north of Gangtok","1000 tourists stranded, more than 180 vehicles stranded, 150 m stretch of road was covered, occurred at 2:00 local time","Sikkim, 13 km north of Gangtok",5km,landslide,downpour,medium,unknown,0.0,0.0,glc,57.0,India,IN,,1464.0,Mangan,11.92749,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.6193,27.4459,India_Media_Catalog,4/11/2007 0:00,2007-04-11 00:00:00,2007-04-11,27.4459,88.6193,27.4459,88.6193,True,27.446,88.619,2007-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en.apa,http://en.apa.az/news.php?id=119178,1611.0,4/1/2010 0:00,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam","The latest disaster has come from Assam where three children aged 7, 5 and 2 were crushed to death after the side of a mountain slid onto their house in Cachar, wiping it out. Their parents, Deepak and Supriti Roy, who survived the catastrophe were seriously injured.  A torrential downpour — some 26 inches on the rain gauge — over the past few days loosened the earth leading to the tragedy at the reserved forest village of Paglanala under Dholai block in the state’s Cachar district.  In the reckless destruction of mountains — be it in the name of “development” or the creation of more “living space” — there have been instances of entire convoys of passenger traffic being stranded in the mountains of the region because of landslides.  As per media report of 2nd April 2010 a landslide at the reserved forest village of Paglanala under Dholai block in the Cachar district, Assam has led to the death of three children and serious injury to two persons. The landslide was preceded by torrential","Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",25km,landslide,downpour,medium,unknown,3.0,0.0,glc,1611.0,India,IN,Assam,39982.0,Hāflong,1.49521,9/12/2014 14:02,11/20/2017 15:17,2/15/2018 15:51,93.028,25.1553,India_Media_Catalog,4/1/2010 0:00,2010-04-01 00:00:00,2010-04-01,25.1553,93.028,25.1553,93.028,True,25.155,93.028,2010-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,147.0,7/30/2007 0:00,Lawngtlai,road networks disrupted,Lawngtlai,25km,landslide,downpour,medium,unknown,0.0,0.0,glc,147.0,India,IN,Mizoram,22654.0,Saiha,9.62825,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,92.899,22.533,India_Media_Catalog,7/30/2007 0:00,2007-07-30 00:00:00,2007-07-30,22.533,92.899,22.533,92.899,True,22.533,92.899,2007-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-06-04/guwahati/32030359_1_barail-hill-harangajao-landslides,4382.0,6/3/2012 0:00," between Harangajao and Mailongdisa, Assa,","Torrential rain in the Barail Hill range for the past many days triggered landslides at least five places along the Lumding-Silchar section of Northeast Frontier Railway (NFR) early on Sunday. Authorities have suspended and regulated services of all the trains in this 214-km section until tracks are cleared.   A senior official of NFR here said at around 3am on Sunday, a large amount of soil and mud, boulders and trees came down the Borail Hill on the tracks at five different places in Dima Hasao district. The affected places are between Harangajao and Mailongdisa, Bandarkhal and Chandranathpur, Maibang and Daotohaja, Lower Haflong and Bagetar and between Mahur and Migrendisa."," between Harangajao and Mailongdisa, Assa,",5km,landslide,downpour,medium,unknown,0.0,0.0,glc,4382.0,India,IN,Assam,39982.0,Hāflong,16.97606,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,92.8573,25.1175,India_Media_Catalog,6/3/2012 0:00,2012-06-03 00:00:00,2012-06-03,25.1175,92.8573,25.1175,92.8573,True,25.118,92.857,2012-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beacononline.wordpress,http://beacononline.wordpress.com/2009/08/25/kalimpong-highway-doom-for-hill-economy/,1112.0,8/20/2009 0:00,"NH31A, Mile 27 near Rambi","Vehicles ply on 27 Mile, a landslide-affected stretch of NH31A, after fresh mudslide on Monday. The rain-triggered landslides and cave-ins have reduced the highway to a potholed and slushy track at numerous places, leading to frequent traffic jams and increase in travel time from two hours to more than double for Siliguri-bound vehicles from here on National Highway 31-A, lifeline for Sikkim and Kalimpong At least 10 places along the Highway had been hit by landslides, triggered by torrential rains over the past week. All these stretches, except Mile 27 area near Rambi have been cleared by the Border Roads Organisation (BRO).","NH31A, Mile 27 near Rambi",25km,mudslide,downpour,medium,unknown,0.0,0.0,glc,1112.0,India,IN,Sikkim,4026.0,Rangpo,0.50251,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.5287,27.1761,India_Media_Catalog,8/20/2009 0:00,2009-08-20 00:00:00,2009-08-20,27.1761,88.5287,27.1761,88.5287,True,27.176,88.529,2009-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/,2424.0,9/13/2010 0:00,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram","Sep 15, 2010  AIZAWL: Aizawl-Champhai road also was blocked by landslides in two places near Tuivawl and Tuichang.  ZONET Champhai Corr. said, the road block near Tuivawl was cleared while men are still at work till in the afternoon to clear the road block near Tuichang.","near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",25km,landslide,downpour,medium,unknown,0.0,0.0,glc,2424.0,India,IN,Mizoram,265331.0,Aizawl,26.45346,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,92.9296,23.591,India_Media_Catalog,9/13/2010 0:00,2010-09-13 00:00:00,2010-09-13,23.591,92.9296,23.591,92.9296,True,23.591,92.93,2010-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim times.com,http://www.thestatesman.net/page.arcview.php?clid=10&id=184730&usrsess=1,78.0,5/23/2007 0:00,"Pangthang, on road b/t Gangtok and North Sikkim",along highway,"Pangthang, on road b/t Gangtok and North Sikkim",50km,landslide,rain,medium,unknown,0.0,0.0,glc,78.0,India,IN,Sikkim,30700.0,Gangtok,1.48585,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.6069,27.3383,India_Media_Catalog,5/23/2007 0:00,2007-05-23 00:00:00,2007-05-23,27.3383,88.6069,27.3383,88.6069,True,27.338,88.607,2007-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e-pao.net,http://e-pao.net/GP.asp?src=24..050913.sep13,5431.0,9/1/2013 0:00,"Tamenglong, Manipur","The incessant rains have caused mudslides causing great havoc in different parts of Tamenglong district. Many people have also lost their properties in the mudslides at Tamenglong town areas. One major mudslide was occurred at Tamenglong ward No.IV near the petrol pump. One store belonging to DM Wangiangdin has been totally damaged. His Alto Maruti car (Suzuki MN01X3673) which was kept inside the store house was also partially damaged by the mudslide. The residence of one Asam Gonmei has also been submerged by the mudslide, leading to lose of all properties. On account of the mudslide, Tamei- Tamenglong road has remained cut off since September 1.","Tamenglong, Manipur",5km,mudslide,continuous_rain,medium,unknown,0.0,0.0,glc,5431.0,India,IN,Assam,7176.0,Mahur,45.4148,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,93.5063,24.9829,India_Media_Catalog,9/1/2013 0:00,2013-09-01 00:00:00,2013-09-01,24.9829,93.5063,24.9829,93.5063,True,24.983,93.506,2013-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2011-06-30/guwahati/29720982_1_heavy-rains-highway,3672.0,6/29/2011 0:00,"Portions of NH 39, Connectin Manipur with Assam via Nagaland","Heavy downpour in the past few days threatens to cut off Nagaland and neighbouring Manipur from the rest of the country. Continuing heavy showers have caused landslides and led to the sinking of a portion of NH 39, creating immense hardship to the people residing here. NH 39, the lifeline of the two northeastern states, connects Manipur with Assam via Nagaland.  If the monsoon showers continue with the same intensity, it is expected that the sunken portion of the highway will have to be closed as it has already become difficult for vehicles to pass through the place.  The main concern of the administrative authorities is the landslide area at the old Kohima Municipal Council (KMC) dumping site about 7 km away from the state capital where mudslides have started with the arrival of the monsoon, leading to disruption of vehicular traffic. Passengers travelling between Kohima and Dimapur have also complained that it is already taking hours to reach their destination.  ","Portions of NH 39, Connectin Manipur with Assam via Nagaland",unknown,landslide,downpour,medium,unknown,0.0,0.0,glc,3672.0,India,IN,Assam,8364.0,Maibong,32.43398,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,93.3613,25.5125,India_Media_Catalog,6/29/2011 0:00,2011-06-29 00:00:00,2011-06-29,25.5125,93.3613,25.5125,93.3613,True,25.512,93.361,2011-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
