latitude_standardized,longitude_standardized,dataset_source,event_date,event_date_standardized,event_year,event_month,usable_event_date,usable_event_year,usable_event_month,temporal_data_type
27.9032,96.174,India_Media_Catalog,5/8/2014 0:00,2014-05-08 00:00:00,,,2014-05-08 00:00:00,,,EXACT_DATE
25.4191,94.1079,India_Media_Catalog,7/7/2011 0:00,2011-07-07 00:00:00,,,2011-07-07 00:00:00,,,EXACT_DATE
26.8716,94.9921,India_Media_Catalog,7/20/2010 0:00,2010-07-20 00:00:00,,,2010-07-20 00:00:00,,,EXACT_DATE
27.4,92.35,India_Media_Catalog,10/29/2008 0:00,2008-10-29 00:00:00,,,2008-10-29 00:00:00,,,EXACT_DATE
27.3702,88.7334,India_Media_Catalog,9/4/2010 0:00,2010-09-04 00:00:00,,,2010-09-04 00:00:00,,,EXACT_DATE
24.3527,94.3429,India_Media_Catalog,7/22/2011 0:00,2011-07-22 00:00:00,,,2011-07-22 00:00:00,,,EXACT_DATE
26.0977,94.7499,India_Media_Catalog,6/7/2013 0:00,2013-06-07 00:00:00,,,2013-06-07 00:00:00,,,EXACT_DATE
28.0791,96.5242,India_Media_Catalog,3/22/2011 0:00,2011-03-22 00:00:00,,,2011-03-22 00:00:00,,,EXACT_DATE
27.3341,88.6083,India_Media_Catalog,4/17/2010 15:00,2010-04-17 15:00:00,,,2010-04-17 15:00:00,,,EXACT_DATE
26.0319,94.5466,India_Media_Catalog,6/24/2015 0:00,2015-06-24 00:00:00,,,2015-06-24 00:00:00,,,EXACT_DATE
27.1249,93.7706,India_Media_Catalog,10/1/2014 11:00,2014-10-01 11:00:00,,,2014-10-01 11:00:00,,,EXACT_DATE
27.174,95.8011,India_Media_Catalog,6/25/2012 0:00,2012-06-25 00:00:00,,,2012-06-25 00:00:00,,,EXACT_DATE
28.4659,95.86,India_Media_Catalog,4/8/2012 0:00,2012-04-08 00:00:00,,,2012-04-08 00:00:00,,,EXACT_DATE
24.7505,93.4221,India_Media_Catalog,8/27/2010 16:30,2010-08-27 16:30:00,,,2010-08-27 16:30:00,,,EXACT_DATE
25.4477,94.0489,India_Media_Catalog,7/22/2015 0:00,2015-07-22 00:00:00,,,2015-07-22 00:00:00,,,EXACT_DATE
26.284,94.5808,India_Media_Catalog,8/4/2013 0:00,2013-08-04 00:00:00,,,2013-08-04 00:00:00,,,EXACT_DATE
26.149,91.7351,India_Media_Catalog,6/20/2012 0:00,2012-06-20 00:00:00,,,2012-06-20 00:00:00,,,EXACT_DATE
25.0672,93.4093,India_Media_Catalog,5/22/2011 0:00,2011-05-22 00:00:00,,,2011-05-22 00:00:00,,,EXACT_DATE
24.1988,94.1016,India_Media_Catalog,8/1/2015 0:00,2015-08-01 00:00:00,,,2015-08-01 00:00:00,,,EXACT_DATE
27.8776,94.25,India_Media_Catalog,6/1/2013 0:00,2013-06-01 00:00:00,,,2013-06-01 00:00:00,,,EXACT_DATE
26.1475,91.7356,India_Media_Catalog,6/2/2012 0:00,2012-06-02 00:00:00,,,2012-06-02 00:00:00,,,EXACT_DATE
24.9037,93.487,India_Media_Catalog,9/1/2013 0:00,2013-09-01 00:00:00,,,2013-09-01 00:00:00,,,EXACT_DATE
25.4538,93.9827,India_Media_Catalog,7/22/2015 0:00,2015-07-22 00:00:00,,,2015-07-22 00:00:00,,,EXACT_DATE
26.1147,94.3864,India_Media_Catalog,7/1/2013 0:00,2013-07-01 00:00:00,,,2013-07-01 00:00:00,,,EXACT_DATE
27.3425,88.6236,India_Media_Catalog,9/10/2007 0:00,2007-09-10 00:00:00,,,2007-09-10 00:00:00,,,EXACT_DATE
24.9818,93.5142,India_Media_Catalog,7/24/2015 0:00,2015-07-24 00:00:00,,,2015-07-24 00:00:00,,,EXACT_DATE
26.1985,91.7998,India_Media_Catalog,9/22/2014 0:00,2014-09-22 00:00:00,,,2014-09-22 00:00:00,,,EXACT_DATE
25.6269,94.1139,India_Media_Catalog,7/12/2013 0:00,2013-07-12 00:00:00,,,2013-07-12 00:00:00,,,EXACT_DATE
24.4279,94.0564,India_Media_Catalog,9/11/2007 0:00,2007-09-11 00:00:00,,,2007-09-11 00:00:00,,,EXACT_DATE
26.8727,94.9275,India_Media_Catalog,8/16/2013 0:00,2013-08-16 00:00:00,,,2013-08-16 00:00:00,,,EXACT_DATE
27.0011,93.7273,India_Media_Catalog,9/10/2010 0:00,2010-09-10 00:00:00,,,2010-09-10 00:00:00,,,EXACT_DATE
23.7327,92.7463,India_Media_Catalog,7/14/2014 18:00,2014-07-14 18:00:00,,,2014-07-14 18:00:00,,,EXACT_DATE
27.3721,88.708,India_Media_Catalog,6/8/2013 17:00,2013-06-08 17:00:00,,,2013-06-08 17:00:00,,,EXACT_DATE
26.1984,94.8158,India_Media_Catalog,8/19/2010 6:30,2010-08-19 06:30:00,,,2010-08-19 06:30:00,,,EXACT_DATE
23.75406693,92.74128531,India_Media_Catalog,9/13/2010 9:00,2010-09-13 09:00:00,,,2010-09-13 09:00:00,,,EXACT_DATE
26.0814,94.803,India_Media_Catalog,8/14/2010 0:00,2010-08-14 00:00:00,,,2010-08-14 00:00:00,,,EXACT_DATE
