dataset_source_dataset1,event_date_dataset1,event_title,location_description,landslide_trigger,latitude_standardized_dataset1,longitude_standardized_dataset1,date_compare,latitude_compare,longitude_compare,dataset_source_dataset2,event_date_dataset2,state,district,location_name,triggering_factor,latitude_standardized_dataset2,longitude_standardized_dataset2
India_Media_Catalog,6/26/2016 0:00,"Raigad Fort, Raigad Fort Natural Reserve, Maharashtra, India","Raigad Fort, Raigad Fort Natural Reserve, Maharashtra, India",rain,18.241,73.4469,2016-06-26,18.241,73.447,LandslideGuard_Project_Master,2016-06-26,Maharashtra,,"Raigad Fort, Raigad Fort Natural Reserve, Maharashtra, India",rain,18.241,73.4469
India_Media_Catalog,6/23/2016 9:00,"Vollant, Vasco, behind the KTC bus stand, Goa, India","Vollant, Vasco, behind the KTC bus stand, Goa, India",downpour,15.3739,73.8911,2016-06-23,15.374,73.891,LandslideGuard_Project_Master,2016-06-23,Goa,,"Vollant, Vasco, behind the KTC bus stand, Goa, India",downpour,15.3739,73.8911
India_Media_Catalog,5/22/2016 15:00,"Chetra Village, Dehradun, India","Chetra Village, Dehradun, India",rain,30.306,78.0648,2016-05-22,30.306,78.065,LandslideGuard_Project_Master,2016-05-22,Uttarakhand,,"Chetra Village, Dehradun, India",rain,30.306,78.0648
India_Media_Catalog,7/17/2016 0:00,"Narendranagar bypass on the Rishikesh-Gangotri national highway,Tehri Garhwal district, Uttarakhand, India","Narendranagar bypass on the Rishikesh-Gangotri national highway,Tehri Garhwal district, Uttarakhand, India",downpour,30.1642,78.2936,2016-07-17,30.164,78.294,LandslideGuard_Project_Master,2016-07-17,Uttarakhand,,"Narendranagar bypass on the Rishikesh-Gangotri national highway,Tehri Garhwal district, Uttarakhand, India",downpour,30.1642,78.2936
India_Media_Catalog,10/15/2016 0:00,Kalijhora,Kalijhora,downpour,26.9343,88.4486,2016-10-15,26.934,88.449,LandslideGuard_Project_Master,2016-10-15,West Bengal,,Kalijhora,downpour,26.9343,88.4486
India_Media_Catalog,10/15/2016 0:00,Zero near Kurseong,Zero near Kurseong,unknown,26.888,88.2796,2016-10-15,26.888,88.28,LandslideGuard_Project_Master,2016-10-15,West Bengal,,Zero near Kurseong,unknown,26.888,88.2796
India_Media_Catalog,8/3/2016 9:00,"Lavasa near Ekaant Hotel Resort in Davse, Pune District, India","Lavasa near Ekaant Hotel Resort in Davse, Pune District, India",downpour,18.3978,73.5086,2016-08-03,18.398,73.509,LandslideGuard_Project_Master,2016-08-03,Maharashtra,,"Lavasa near Ekaant Hotel Resort in Davse, Pune District, India",downpour,18.3978,73.5086
India_Media_Catalog,7/20/2016 0:00,"Rimbik, Darjeeling, West Bengal state, India","Rimbik, Darjeeling, West Bengal state, India",downpour,27.1176,88.1069,2016-07-20,27.118,88.107,LandslideGuard_Project_Master,2016-07-20,West Bengal,,"Rimbik, Darjeeling, West Bengal state, India",downpour,27.1176,88.1069
India_Media_Catalog,6/14/2016 8:00,"lower Majakong Ward, Mokokchung, Nagaland, India","lower Majakong Ward, Mokokchung, Nagaland, India",continuous_rain,26.3185,94.5247,2016-06-14,26.318,94.525,LandslideGuard_Project_Master,2016-06-14,Nagaland,,"lower Majakong Ward, Mokokchung, Nagaland, India",continuous_rain,26.3185,94.5247
India_Media_Catalog,6/21/2016 0:00,"Jammu-Srinagar national highway at Samroli, India","Jammu-Srinagar national highway at Samroli, India",downpour,32.99,75.1892,2016-06-21,32.99,75.189,LandslideGuard_Project_Master,2016-06-21,Kashmir,,"Jammu-Srinagar national highway at Samroli, India",downpour,32.99,75.1892
