event_record_id,latitude,longitude,event_date,elevation,slope,aspect,soil_id,landcover_class,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,label,sample_type,event_date_source
0,27.478,88.527,2009-07-01,746.7476196289062,21.305740356445312,190.0960235595703,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
209,27.7,92.8,2009-08-12,2444.436279296875,14.2368745803833,222.82147216796875,11864.0,10.0,,,,,,1,landslide_event,event_date_standardized
38,27.15977181,88.63411246,2009-08-16,812.6243286132812,40.2085075378418,47.09462738037109,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
29,24.9925,93.5,2009-08-20,1213.68408203125,21.690649032592773,65.05585479736328,4301.0,50.0,,,,,,1,landslide_event,event_date_standardized
22,27.1761,88.5287,2009-08-20,299.4311218261719,5.506807327270508,235.9091186523437,3662.0,50.0,,,,,,1,landslide_event,event_date_standardized
9,25.5215,93.1645,2009-08-20,270.9970092773437,6.731748104095459,119.65299224853516,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
146,25.1718,93.123,2009-08-27,723.78369140625,10.260483741760254,205.0050048828125,4276.0,30.0,,,,,,1,landslide_event,event_date_standardized
211,24.8628,94.4182,2009-08-30,905.5567016601562,33.573360443115234,186.70074462890625,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
158,27.1954,88.6115,2009-09-17,478.9856262207031,13.082609176635742,137.0054473876953,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
193,23.73478778,92.72124394,2009-10-05,974.2714233398438,25.156400680541992,21.64884757995605,7001.0,30.0,,,,,,1,landslide_event,event_date_standardized
116,24.7339,93.9161,2010-03-27,879.9097900390625,23.49284172058105,117.61614227294922,4276.0,30.0,,,,,,1,landslide_event,event_date_standardized
19,25.1553,93.028,2010-04-01,576.326904296875,27.646631240844727,355.6628112792969,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
221,27.8997,93.3497,2010-04-02,870.244873046875,7.713263034820557,211.46420288085932,11864.0,50.0,,,,,,1,landslide_event,event_date_standardized
52,27.3341,88.6083,2010-04-17,1437.78466796875,31.77921867370605,256.06817626953125,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
198,27.322,88.6087,2010-04-17,1515.9171142578125,41.73021697998047,291.3511962890625,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
117,26.1978,91.7665,2010-04-20,86.62431335449219,18.580564498901367,80.6427001953125,3650.0,50.0,,,,,,1,landslide_event,event_date_standardized
228,26.1965,91.763,2010-04-20,96.65662384033205,9.91713809967041,137.4087371826172,3650.0,50.0,,,,,,1,landslide_event,event_date_standardized
39,27.8965,96.1779,2010-04-21,210.589599609375,5.63365364074707,315.86431884765625,3637.0,10.0,,,,,,1,landslide_event,event_date_standardized
308,25.3612,92.2845,2010-04-21,1223.6009521484375,9.077141761779783,79.6989517211914,3646.0,30.0,,,,,,1,landslide_event,event_date_standardized
224,25.3433,92.2897,2010-05-11,1199.6312255859375,6.1593546867370605,113.76013946533205,3646.0,30.0,,,,,,1,landslide_event,event_date_standardized
199,28.4298,95.8776,2010-05-31,524.8622436523438,10.550423622131348,307.4333801269531,11790.0,10.0,,,,,,1,landslide_event,event_date_standardized
254,27.3543,88.6428,2010-05-31,2121.573486328125,21.04854965209961,78.2112808227539,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
216,24.6005,92.3814,2010-06-03,103.36077880859376,19.323692321777344,352.72100830078125,3708.0,10.0,,,,,,1,landslide_event,event_date_standardized
122,23.8986,91.7599,2010-06-03,175.7871551513672,14.356929779052734,8.92135238647461,3665.0,10.0,,,,,,1,landslide_event,event_date_standardized
189,24.7543,93.5039,2010-06-07,394.7284240722656,13.277341842651367,353.5431213378906,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
