source_name,source_link,event_id,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,dataset_source,original_event_date,event_date_standardized,event_date_only,original_latitude,original_longitude,latitude_standardized,longitude_standardized,coordinates_valid,latitude_compare,longitude_compare,date_compare,master_id,record_type,event_year,event_month,date_precision,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes,elevation,slope,aspect,soil_id,landcover_class,all_features_available
e-pao.net,http://e-pao.net/GP.asp?src=Snipp3..100610.jun10,1961.0,6/9/2010 14:15,"Ishok Chingphu(?), Bishnupur, Assam","Imphal, June 09 2010: Three houses were damaged in mudslide from the hill at Ishok Chingphu in Bishnupur district today causing damaged to properties worth around Rs 2 lakh.  The collapsed houses belonged to Pukhrambam Rame son of Chaoba, Huidrom Shamu and Naorem Bisheshwar.  Most part of the house of Rame had been destroyed in the mudslide occurred at about 2.15 pm.","Ishok Chingphu(?), Bishnupur, Assam",50km,landslide,downpour,medium,unknown,0.0,0.0,glc,1961.0,India,IN,Meghālaya,25758.0,Nongstoin,41.26849,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,91.2,25.8833,India_Media_Catalog,6/9/2010 14:15,2010-06-09 14:15:00,2010-06-09,25.8833,91.2,25.8833,91.2,True,25.883,91.2,2010-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.8751678466797,13.758164405822754,136.6505889892578,3814.0,10.0,True
e-pao,http://www.e-pao.net/GP.asp?src=5..101010.oct10,2578.0,10/9/2010 0:00,"NH-39 in Karong area, Manipur",Landslide has also been reported at a spot near Khongnem village while there are at least three landslides at Karong area.,"NH-39 in Karong area, Manipur",5km,landslide,downpour,medium,unknown,0.0,0.0,glc,2578.0,India,IN,Nāgāland,92113.0,Kohima,40.0566,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,94.0462,25.3179,India_Media_Catalog,10/9/2010 0:00,2010-10-09 00:00:00,2010-10-09,25.3179,94.0462,25.3179,94.0462,True,25.318,94.046,2010-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.9530029296875,24.419466018676758,273.8585510253906,4276.0,10.0,True
Hmar.net,http://hmar.net/?p=1870,322.0,10/21/2007 0:00,National Highway 53 at Nungba in Tamenglong district of Manipur,blocked road,National Highway 53 at Nungba in Tamenglong district of Manipur,25km,landslide,rain,medium,unknown,0.0,0.0,glc,322.0,India,IN,Assam,12871.0,Lakhipur,43.16287,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,93.4333,24.75,India_Media_Catalog,10/21/2007 0:00,2007-10-21 00:00:00,2007-10-21,24.75,93.4333,24.75,93.4333,True,24.75,93.433,2007-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.1056213378906,37.95195770263672,184.34169006347656,4301.0,10.0,True
www.morungexpress.com,http://www.morungexpress.com/regional/104056.html,5552.0,9/24/2013 0:00,"Ukhrul, Manipur","Imphal, September 28 (NNN): The massive landslide that occurred in Ukhrul town has been cleared yesterday. The landslide had occurred at Police Bazar, also called Tangrei near Ukhrul police station. According to Kamphasom Tang chairman Alston T Shimrah and its secretary Khamung, the landslide that had given tremendous hardship to the people of the Ukhrul town in the last few days. The chairman and the secretary of Kamphasom Tang, Ukhrul have expressed their deep gratitude to Ukhrul deputy commissioner SK Chaurasoia, Ukhrul superintendent of police K Kabib, Ukhrul sub-divisional officer Worshang Hungyo, Officer commanding of 84 RCC/25 BRTF Asish Kumar, 2nd in command of the BRTF AK Mehra, Jr Engineer, 25 BRTF Swamy S and others for helping to clear the massive landslide yesterday. The Kamphasom Tang leaders also expressed their gratitude to RS Ngaranchui, the Ukhrul district representative of Lok Sabha MLA under whose supervision the slide was cleared.","Ukhrul, Manipur",5km,landslide,unknown,medium,unknown,0.0,0.0,glc,5552.0,India,IN,Manipur,223523.0,Imphal,53.05172,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,94.3619,25.0985,India_Media_Catalog,9/24/2013 0:00,2013-09-24 00:00:00,2013-09-24,25.0985,94.3619,25.0985,94.3619,True,25.098,94.362,2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899.943359375,5.894336223602295,318.3699951171875,7001.0,60.0,True
The Olympian,http://www.theolympian.com/2015/05/27/3746897/rhododendron-explorers-from-south.html,7031.0,5/24/2015 0:00,"Bop, Sikkim","Approximately 1200 tourists were stranded. The landslide blocked three switchbacks on the main road. By the evening, that stretch was impassable.","Bop, Sikkim",1km,landslide,unknown,medium,above_road,0.0,0.0,glc,7031.0,India,IN,Sikkim,1464.0,Mangan,17.93173,6/30/2015 20:57,11/20/2017 15:17,2/15/2018 15:51,88.6586,27.6163,India_Media_Catalog,5/24/2015 0:00,2015-05-24 00:00:00,2015-05-24,27.6163,88.6586,27.6163,88.6586,True,27.616,88.659,2015-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845.9775390625,34.200496673583984,133.8531951904297,3662.0,10.0,True
hindustantimes,http://www.hindustantimes.com/Girl-dies-in-landslide-flash-flood-wrecks-havoc-in-Meghalaya/Article1-564450.aspx,2025.0,6/28/2010 0:00,"Police CID complex(?), Shillong, Meghalaya","A 14-year-old girl was killed and at least seven others were injured on Monday after heavy rains triggered a landslide in Shillong. Alicia Arengngma, daughter of a policeman, was buried when debris of a landslide following heavy rain blocked the ground floor of Meghalaya police's CID complex, police said. Some nearby houses were also damaged and rescue operations were on, official sources said.  The injured were admitted in a government hospital.  Incessant rain over the past couple of days has thrown normal life completely out of gear in the state.","Police CID complex(?), Shillong, Meghalaya",5km,landslide,downpour,medium,unknown,1.0,0.0,glc,2025.0,India,IN,Meghālaya,132842.0,Shillong,0.46891,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,91.885,25.5728,India_Media_Catalog,6/28/2010 0:00,2010-06-28 00:00:00,2010-06-28,25.5728,91.885,25.5728,91.885,True,25.573,91.885,2010-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506.6357421875,7.4910454750061035,315.9411926269531,3646.0,50.0,True
www.nagalandpost.com,http://www.nagalandpost.com/ChannelNews/Regional/RegionalNews.aspx?news=TkVXUzEwMDA0MzUxNQ%3D%3D-zy3k3F6024s%3D,5343.0,8/17/2013 23:00,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,"Over 700 Imphal-bound freight trucks were Sunday stranded between Rengpan and Khambirong on the stretch of the Imphal-Jiribam section of NH-37 in Tamenglong district after the road was totally blocked by a landslide triggered by continuous heavy rainfall. An official report reaching here said that the landslide at various places between Rengpang and Khambirong of the highway was triggered by heavy rainfall last night blocking vehicular movement. Over 700 freight trucks including oil tankers and goods laden trucks heading Imphal from Jiribam with security escorts were reportedly stranded at various places beyond Rengpang on Jiribam side. The freight trucks include among other 250 trucks loaded with rice and other Food Corporation of India (FCI), 30 oil tanker and 10 trucks carrying life saving drugs. The landslide was triggered after around 150 trucks had crossed the area with security escort. Besides this, those vehicles which had already crossed the landslide area remained stranded be",The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,10km,landslide,continuous_rain,medium,unknown,0.0,0.0,glc,5343.0,India,IN,Assam,12871.0,Lakhipur,43.11128,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,93.4341,24.7625,India_Media_Catalog,8/17/2013 23:00,2013-08-17 23:00:00,2013-08-17,24.7625,93.4341,24.7625,93.4341,True,24.762,93.434,2013-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.5919799804688,41.36114501953125,132.21055603027344,4301.0,10.0,True
First Post,http://www.firstpost.com/india/two-dead-2-injured-landslide-arunachal-pradesh-school-remain-shut-heavy-rainfall-alert-2287954.html,6971.0,6/9/2015 0:00,"Itanagar, Arunachal Pradesh",Two people died while two others were seriously injured when their dwelling was hit by a landslide on Tuesday,"Itanagar, Arunachal Pradesh",5km,landslide,continuous_rain,medium,above_road,2.0,2.0,glc,6971.0,India,IN,Arunachal Pradesh,44971.0,Itānagar,1.30114,6/25/2015 20:30,11/20/2017 15:17,2/15/2018 15:51,93.816,27.0987,India_Media_Catalog,6/9/2015 0:00,2015-06-09 00:00:00,2015-06-09,27.0987,93.816,27.0987,93.816,True,27.099,93.816,2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.14358520507812,10.277758598327637,8.43869686126709,11775.0,10.0,True
WebIndia123.com,http://news.webindia123.com/news/ar_showdetails.asp?id=704100915&cat=&n_date=20070410,57.0,4/11/2007 0:00,"Sikkim, 13 km north of Gangtok","1000 tourists stranded, more than 180 vehicles stranded, 150 m stretch of road was covered, occurred at 2:00 local time","Sikkim, 13 km north of Gangtok",5km,landslide,downpour,medium,unknown,0.0,0.0,glc,57.0,India,IN,,1464.0,Mangan,11.92749,4/1/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,88.6193,27.4459,India_Media_Catalog,4/11/2007 0:00,2007-04-11 00:00:00,2007-04-11,27.4459,88.6193,27.4459,88.6193,True,27.446,88.619,2007-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.0325927734375,11.777176856994629,153.777587890625,3662.0,10.0,True
en.apa,http://en.apa.az/news.php?id=119178,1611.0,4/1/2010 0:00,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam","The latest disaster has come from Assam where three children aged 7, 5 and 2 were crushed to death after the side of a mountain slid onto their house in Cachar, wiping it out. Their parents, Deepak and Supriti Roy, who survived the catastrophe were seriously injured.  A torrential downpour — some 26 inches on the rain gauge — over the past few days loosened the earth leading to the tragedy at the reserved forest village of Paglanala under Dholai block in the state’s Cachar district.  In the reckless destruction of mountains — be it in the name of “development” or the creation of more “living space” — there have been instances of entire convoys of passenger traffic being stranded in the mountains of the region because of landslides.  As per media report of 2nd April 2010 a landslide at the reserved forest village of Paglanala under Dholai block in the Cachar district, Assam has led to the death of three children and serious injury to two persons. The landslide was preceded by torrential","Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",25km,landslide,downpour,medium,unknown,3.0,0.0,glc,1611.0,India,IN,Assam,39982.0,Hāflong,1.49521,9/12/2014 14:02,11/20/2017 15:17,2/15/2018 15:51,93.028,25.1553,India_Media_Catalog,4/1/2010 0:00,2010-04-01 00:00:00,2010-04-01,25.1553,93.028,25.1553,93.028,True,25.155,93.028,2010-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.326904296875,27.646631240844727,355.6628112792969,4276.0,10.0,True
