,precision,recall,f1-score,support
Background,0.8412698412698413,0.803030303030303,0.8217054263565892,66.0
Landslide,0.8088235294117647,0.8461538461538461,0.8270676691729323,65.0
accuracy,0.8244274809160306,0.8244274809160306,0.8244274809160306,0.8244274809160306
macro avg,0.8250466853408029,0.8245920745920745,0.8243865477647607,131.0
weighted avg,0.8251705262257576,0.8244274809160306,0.8243660811891259,131.0
