model,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,true_negatives,false_positives,false_negatives,true_positives
Random Forest,1.0,1.0,1.0,1.0,1.0,0.8244274809160306,0.8088235294117647,0.8461538461538461,0.8270676691729323,0.8962703962703964,53,13,10,55
Logistic Regression,0.8145315487571702,0.8044280442804428,0.8320610687022901,0.8180112570356473,0.8899417975490627,0.8244274809160306,0.8181818181818182,0.8307692307692308,0.8244274809160306,0.8897435897435898,54,12,11,54
